test_name,bench_name,cache_mode,event_type,source,addr,request_cycle,response_cycle,latency,notes
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001408,2590,2593,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000200,2591,2633,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000200,2590,2633,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000204,2634,2635,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000208,2636,2637,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,0000140c,2635,2638,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000020c,2638,2639,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000210,2641,2683,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000210,2640,2683,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000214,2684,2685,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000218,2686,2687,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000021c,2688,2689,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000220,2691,2733,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000220,2690,2733,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000224,2734,2735,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000228,2736,2737,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000022c,2738,2739,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001000,2739,2742,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000230,2741,2783,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000230,2740,2783,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000234,2784,2785,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000238,2786,2787,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000023c,2788,2789,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_LAST_RSP,mem_monitor_dcache,00001010,2789,2831,42,dcache_read_last
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001010,2785,2833,48,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000240,2835,2877,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000240,2834,2877,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000244,2878,2879,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_LAST_RSP,mem_monitor_dcache,00001020,2878,2920,42,dcache_read_last
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001020,2835,2922,87,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000248,2923,2924,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000024c,2925,2926,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_LAST_RSP,mem_monitor_dcache,00001100,2933,2975,42,dcache_read_last
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001100,2924,2977,53,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000250,2979,3021,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000250,2978,3021,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000254,3022,3023,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_WRITE_ADDR_DATA_TO_RSP,mem_monitor_dcache,00001400,3023,3105,82,store_latency=N/A_core_completion_not_defined
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,DIRTY_VBUF_WRITEBACK_START_TO_DONE,dcache_monitor,00001400,2931,3105,174,dirty_vbuf_writeback
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_LAST_RSP,mem_monitor_dcache,00001200,3106,3148,42,dcache_read_last
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001200,2979,3150,171,class=miss_event_correlated
